,name,price,size
1728,Paclikebir Inj 30mg 1Vial,"Rs.5,200",1Vial
1729,Kebir Inj 100mg 1Vial,"Rs.19,500",1Vial
1730,Paclikebir Inj 300mg 1Vial,"Rs.20,000",1Vial
1731,Paclikebir Inj 150mg 1Vial,"Rs.12,200",1Vial
1732,Topokebir Inj 4mg 1Vial,"Rs.10,000",1Vial
1733,Kedronico Inj 4mg 1Vial,"Rs.16,150",1Vial...
1734,Cellzole Tab 2.5mg 30's,"Rs.5,000",30...
1735,Oniron Tab 8mg 10's,Rs.300,10's
1736,Eyfem Ophthalmic Oint 0.1% 5g,MRP Rs.77 5% off Rs.73.15,5g
1737,Medidex Drops 0.1% 5ml,"Rs.20,102",5ml
1738,Vasoflam-T Drops 5ml,"Rs.84,056",5ml
1739,Femicon Eye Drops 5ml,Rs.94,5ml
1740,Fortipred Eye Drops 1% 5ml,Rs.64.66,5ml
1741,Mildopred Eye Drops 0.12% 5ml,Rs.48.29,5ml...
1742,Optadex Eye Drops 0.1% 5ml,Rs.21.65,5ml
1743,Prednicol Eye Drops 10ml,Rs.39,10ml
1744,Ocuflur PN Ophthalmic Susp 5ml,Rs.60,5ml
1745,Dexoptic Ophthalmic Susp 0.1% 5ml,Rs.35.55,5ml
1746,Dexoptic Ophthalmic Oint 0.1% 3.5g,Rs.30,3.5gm
1747,Optopred Ophthalmic Susp 1.0% 5ml,Rs.61.93,5ml
1748,Florom Eye Drops 5ml,Rs.51.55,5ml
1749,Pred Plus Eye Drops 1%...,Rs.50.50,5ml
1750,Prednisynth Eye Drops 0.5%/0.2% 10ml,Rs.55,10ml
1751,Lamcy Ophthalmic Sol 0.1% 5ml,Rs.80.40,5ml
1752,Lamcy-T Ophthalmic Susp 1mg/0.25mg 5ml,Rs.75.18,5ml
1753,Floroptic Eye Drops 0.1% 5ml,Rs.48,5ml
1754,Floroptic Eye Oint 0.1% 3.5g,Rs.40,3.5g
1755,Prens Eye Drops 1% 5ml,Rs.50,5ml
1756,VegaDex Eye Drops 5ml,Rs.24,5ml
1757,Orbafluor Eye Drops 0.1% 5ml,Rs.55.37,5ml
1758,Orbetam Drops 0.1% 10ml,Rs.40.37,10ml
1759,Orbetam-N Drops 10ml,Rs.52.91,10ml
1760,Tears Naturale Eye Drops 0.1%/0.3%...,Rs.217,15ml
1761,Systane Lubricant Eye Drops 30ml,Rs.765,30ml
1762,Lacri-lube Ophthalmic Oint 0.5% 3.5g,Rs.156.56,3.5g
1763,Tears Plus Lubricating Eye Drops...,Rs.63.44,10ml
1764,Eywet Eye Drops 1.4% 15ml,MRP Rs.71.99 5% off Rs.68.39,15ml
1765,Eywet Plus Eye Drops 10ml,"Rs.67,412",10ml
1766,Tearkool Eye Drops 0.3% 10ml,MRP Rs.206.99 5% off Rs.196.64,10ml
1767,Hicel Eye Drops 5% 10ml,Rs.94,10ml...
1768,Tears Forte Ophthalmic Sol 15ml,Rs.137.43,15ml
1769,Blink Fresh Eye Drops 10ml,Rs.83.74,10ml...
1770,Hylosan Ophthalmic Sol 5ml,Rs.255,5ml
1771,Optolube Ophthalmic Oint 3.5g,Rs.78,3.5gm
1772,Viscogel Eye Sol 2% 2ml,Rs.187,2ml
1773,Viscogel-HV Eye Sol 2% 3ml...,Rs.325,3ml
1774,Santovir Ophthalmic Oint 3% 4.5g,Rs.218.76,4.5gm
1775,Softeal Opthalmic 0.3% Drops 10ml,Rs.222.17,10ml
1776,2Blink Eye Drops 15ml,Rs.302.96,15ml
1777,I-Fresh Eye Drops 10ml,Rs.59,10ml
1778,Eyelub Eye Drops 15ml,Rs.258.75,15ml
1779,Tears Eye Gel 2% 10...,Rs.139.15,10g
1780,Neo Tears Eye Drops 0.1%/0.3%...,Rs.70,15ml
1781,Optitears Eye Drops 15ml,Rs.94.12,15ml
1782,Methogel Eye Drops 2% 3ml,Rs.186.73,3ml
1783,Teardrop Eye Drops 0.3%+0.4% 5ml,Rs.92.58,5ml
1784,Vegadex-C Eye Drops 0.5gm/0.1gm 5ml,Rs.22,5ml
1785,Vechlor Eye Drops 0.5% 10ml,Rs.30,10ml
1786,Oflobiotic Eye Drops 0.3% 5ml,Rs.96.61,5ml
1787,Orbachlor Eye Drops 0.5% 10ml,Rs.59.58,10ml
1788,Orbacin Eye Drops 0.3% 5ml,Rs.151.04,5ml
1789,Orbamide Eye Drops 10% 15ml,Rs.43.95,15ml
1790,Orbaleph Eye Drops 5ml,Rs.57.77,5ml
1791,Orbamide Eye Drops 30% 15ml,Rs.51.92,15ml
1792,Orbatrol Eye Drops 5ml,Rs.81.82,5ml
1793,Orbatrol Eye Oint 3.5gm,Rs.113.96,3.5gm
1794,Polyzaf Ophthalmic Oint 4gm,Rs.23.70,4gm
1795,Polyzaf Ophthalmic Oint 6gm,Rs.31.75,6gm
1796,Cindex Eye Drops 2% 5ml,Rs.120,5ml
1797,Dexachlor Eye Drops 5ml,Rs.36.53,5ml
1798,Ethiflox Eye Drops 5ml,Rs.107,5ml
1799,Moxiral Eye Drops 5ml,Rs.342.15,5ml
1800,Sulphacetamide Eye Drops 10% 10ml,Rs.20,10ml
1801,Vasochlor Eye Drops 0.5% 10ml,Rs.40,10ml
1802,Sulphapred Eye Drops 5ml,Rs.74.05,5ml
1803,Opitcin Eye Drops 0.5% 5ml,Rs.65,5ml
1804,Ocucid Eye Drops 0.3% 5ml,Rs.72,5ml
1805,Genticyn Eye/Ear Drops 0.3% 7.5ml,Rs.34.08,7.5ml
1806,X-gen eye drops 0.5% 5ml,Rs.250,5ml
1807,Moxiopt Eye Drops 0.5% 5ml,Rs.120.91,5ml
1808,Abnil Cap 120mg 30's,"MRP Rs.1,533.74 5% off Rs.1,457.05",30's
1809,Zenec Cap 120mg 3x10's,"Rs.1,800",30's
1810,Zenec Cap 120mg 84's,"Rs.5,040",84's
1811,Orlis Cap 120mg 6x5's,"Rs.1,750",30's
1812,Xenista Cap 120mg 20's,Rs.779,20's
1813,Orlifit Cap 120mg 10's,MRP Rs.650 5% off Rs.617.50,10's
1814,Orslim Cap 120mg 30's,"MRP Rs.1,800 5% off Rs.1,710",30...
1815,Trimzak Cap 120mg 2x5's,Rs.560,2x5's
1816,Trimfast Plus Cap 1x30's,"Rs.1,000",30...
1817,Osita Cap 120mg 20'S,Rs.779,20's
1818,Orlirise Cap 120mg 2x5's,Rs.489.26,2x5's
1819,Xenista Cap 120mg 20's (Avant...,Rs.779,20's
1820,Nutriflex Lipid Special Inf 625ml,"Rs.3,442",625ml
1821,Nutriflex Lipid Plus Inf 2500ml,"Rs.6,069",2500ml
1822,Nutriflex Lipid Special Inf 1875ml,"Rs.6,103",1875ml
1823,Nutriflex Lipid Special Inf 2500ml,"Rs.7,042",2500ml
1824,Core 24 Tab 30's,MRP Rs.599.40 10% off Rs.539.46,30's
1825,Resource Junior 400g,"MRP Rs.2,100 2% off Rs.2,058",1...
1826,Nephrosteril Inf 500ml,"Rs.1,008.52",500ml
1827,Pan Amin G Inf 500ml,Rs.409.56,500mlMarketed...
1828,Aminovel-600 Without Set Inf 5%...,Rs.774.95,500ml
1829,Pan Amin G Without Set...,MRP Rs.409.56 5% off Rs.389.08,
1830,Herr-C 1000 Powder Sachet 10's,Rs.169.73,10's
1831,Ortho Magic Cap 30's,"Rs.1,058.82",30's
1832,Isocal Powder 425gm,"Rs.2,930",425g
1833,Resource Diabetes 400gm,"Rs.2,440",
1834,Zink Tab 60's,Rs.273.50,60...
1835,Menora Cap 30's,"Rs.1,058.81",30...
1836,Garlicon Cap 30's,Rs.641.03,30's
1837,Ginkoba Cap 30's,"Rs.1,102.56",30's
1838,K Ston 10Mg Tab 30S,Rs.634.99,30's
1839,Bilovas Syrup 120 Ml,Rs.430,120ml
1840,Bilovas Cap,Rs.530,30's
1841,Ostibon Sachet,Rs.336,12's
1842,Tryception Tab 30's,"Rs.1,102.56",30's
1843,Lactena Mom Milk Powder 200g,Rs.372,200g
1844,Lacteus Mama Powder 400g,"Rs.1,584.82",400g
1845,Enfamama A+ Chocolate Powder 400g,"Rs.1,748",400g
1846,Enfamama A+ Vanilla Powder 400g,"Rs.1,748",400g
1847,Meiji Mamilac Powder 350g,"Rs.1,395",350g
1848,Morinaga Bf-Mama Vanilla Nutritional Supplement...,Rs.712,200g...
1849,Morinaga Bf-Mama Chocolate Nutritional Supplement...,Rs.712,200g...
1850,Exforge Tab 10mg/160mg 28's,"Rs.2,434.32",28's
1851,Exforge HCT Tab 5mg/160mg/12.5mg 14's,Rs.992.25,14's
1852,Exforge HCT Tab 5mg/160mg/25mg 14's,Rs.950,14's
1853,Exforge HCT Tab 10mg/160mg/12.5mg 14's,"Rs.1,065.75",14's
1854,Exforge HCT Tab 10mg/160mg/25mg 14's,"Rs.1,151.59",14's
1855,Exforge HCT Tab 10mg/320mg/25mg 14's,"Rs.1,395",14's
1856,Galvus Tab 50mg 28's,"Rs.1,579.06",28's
1857,Galvus Met Tab 50mg/850mg 30's,"Rs.1,654.96",30's
1858,Galvus Met Tab 50mg/1000mg 30's,"Rs.1,654.96",30's
1859,Sandimmun Neoral Cap 25mg 50's,"Rs.2,900",50's
1860,Sandimmun Neoral Cap 100mg 50's,"Rs.9,900",50's
1861,Sandimmun Neoral D Sol 100mg/ml...,"Rs.8,900",1's
1862,Sandimmun Inj 250mg 10Ampx5ml,"Rs.8,900",10's
1863,Xolair Inj 150mg 1Vial,"Rs.38,000",1vial
1864,Co-Diovan Tab 160mg/12.5mg 28's,"Rs.1,995",28's
1865,Co-Diovan Tab 160mg/25mg 28's,"Rs.2,014.95",28's
1866,Diovan Tab 160mg 28's,"Rs.2,258.51",28's
1867,Galvus Met Tab 50/500mg 30's,"Rs.1,779.50",30's
1868,Package of Onbrez Breezhaler Cap...,"Rs.4,025",30's...
1869,Tacrosan Cap 0.5mg 50's,"Rs.4,075.46",
1870,Exelon Cap 1.5 mg 28's,"Rs.6,097.21",
1871,Exelon Cap 3.0 mg 28's,"Rs.6,097.21",
1872,Exelon Cap 6.0 mg 28's,"Rs.5,875.04",
1873,Exelon Cap 4.5 mg 28's,"Rs.5,875.04",
1874,Xylizine Tab 5mg 10's,Rs.55,10's
1875,Doara Tab 5mg 1x10's,Rs.175,1x10's
1876,Fexicame Cap 120mg 10's,Rs.110,30's
1877,Fexicame Cap 60mg 10's,Rs.55,10's
1878,Fexicame Cap 120mg 2x10's,Rs.220,1vialx2ml
1879,Disdine Tab 5mg 10's,Rs.140,10's
1880,Cetzi Syp 60ml,Rs.55.34,60's
1881,Lecetzi Tab 5mg 1x10's,Rs.74,10's
1882,Zofen Syp 60ml,Rs.43,60ml
1883,Cetzi Blister Tab 10mg 1x10's,Rs.56.93,10's
1884,Fenoxin Cf Tab 1x10's,Rs.100,10's
1885,Fenoxin Tab 60mg 10's,Rs.55,10's
1886,Fenoxin Tab 120mg 10's,Rs.214.50,10's
1887,Grayzine Tab 1x10's,Rs.30,10's
1888,Axodine Tab 120mg 1x10's,Rs.140,10's
1889,T-Day Syp 90ml,Rs.93.74,90ml...
1890,T-Day Tab 5mg 10's,Rs.81.47,10...
1891,Levamin Tab 5mg 1×10’s,Rs.55,1x10’s
1892,Leviva Tab 5mg 10's,Rs.60,10's
1893,Leviva Syp 2.5mg/5ml 60ml,Rs.38.97,60ml
1894,Delosit Tab 5mg 10's,Rs.180,10's
1895,XADINE Tab 60mg 20's,Rs.141.39,20's
1896,Fifex Tab 180mg 10Æ’??s,Rs.195,10's
1897,Fifex Tab 60mg 10Æ’??s,Rs.69,10's
1898,Wilgesic Forte Tab 650mg/50mg 10's,Rs.631.83,10's
1899,Biforge Tab 5/80mg 14's,Rs.140,14's
1900,Somno 5mg Tab 30's,Rs.400,30's
1901,Vonozan Tab 20mg 14's,Rs.546,14's
1902,Rigix Oral Drop 15ml,Rs.103.45,120ml...
1903,Daplazole 30mg Cap 30's,Rs.451,30's...
1904,Omeprazol 8.7mg/1ml 30ml,Rs.465,30mlMarketed...
1905,Ora-D Oral Drops 10ml,Rs.350,10...
1906,Eno Reguler Powder Sachet 12's,Rs.90.49,12'sMarketed...
1907,Sod Cream 1's,Rs.320,1's
1908,Medac Face Wash 60ml,Rs.582.35,60ml
1909,Tasmi AM 5+80mg 14's,Rs.476, 14's
1910,Desferal Inj 500mg 10Vial,"Rs.3,615.71",10VialMarketed...
1911,Zindigi Dispersible Tab 10mg 14's,Rs.55.79,14'sMarketed...
1912,Exinofin Tab 250mg 1x10's,Rs.550,1x10'sMarketed...
1913,Xenglu Met XR Tab 10/1000mg...,Rs.371,14's
1914,Taclekin 1mg Caps 30's,"Rs.1,785.30",30's
1915,Nelaton Catheter 12FR 1's,Rs.40,
1916,Calxigo + Tab,Rs.770,20's...
1917,KefenTech Plaster 30mg 10's,Rs.600,10's
1918,Garent-C Tablet 30's,Rs.410,30's...
1919,Entox-P Tab 630mg 100's,Rs.206.20,100's
1920,Ozempic Inj 0.5 1 pre...,"Rs.19,395",1PFP...
1921,Phlogin SR-100 Cap 100mg 10's,Rs.263.15,2x10's
1922,Similac NeoSure Powder 370g,"Rs.1,450",370g
1923,Enfagrow A+3 Powder 400g,"Rs.2,153",400g
1924,Enfagrow A+3 Powder 800g,"Rs.5,400",800g
1925,Enfagrow A+4 Powder 800g,"Rs.3,167",800g
1926,Enfagrow A+4 Powder 400g,"Rs.1,651",400g
1927,Morinaga Bf-1 Powder Milk 400g,"Rs.1,440",400g
1928,Morinaga Bf-1 Powder Milk 900g,"Rs.3,250",900g
1929,Nelaton Catheter 12FR 1's,Rs.40,
1930,Gaba Pil Cap 50mg 14's,Rs.290,14's
1931,Gaba Pil Cap 75mg 14's,Rs.224,14's
1932,Gaba Pil Cap 100mg 14's,Rs.350,14's
1933,Gaba Pil Cap 150mg 14's,Rs.385,14's
1934,Gaba Pil Cap 300mg 14's,Rs.635,14's
1935,Vyolen Cap 150mg 14's,Rs.350,14's
1936,Vyolen Cap 75mg 14's,Rs.270.40,14's
1937,Gabal 75Mg Cap,Rs.257.60,14's
1938,Gabazon 75Mg Cap,Rs.257.60,14's
1939,G-Gab 75Mg Cap,Rs.257.60,2x7's
1940,G-Gab 100Mg Cap,Rs.257.60,2X7's
1941,G-Gab 150Mg Cap,Rs.257.60,2X7's
1942,G-Gab 300Mg Cap,Rs.257.60,2X7's
1943,G Gab 50Mg Cap,Rs.257.60,2x7's
1944,Pgb Neo 50Mg Cap,Rs.257.60,14's
1945,Pgb Neo 75 Mg Cap,Rs.257.60,14's
1946,Pgb Neo 100 Mg Cap,Rs.257.60,14's
1947,Syngab Cap 25mg,Rs.183.82,2x7'sMarketed...
1948,Hilin Cap 75mg 14's,Rs.292.09,14's
1949,Dologab Cap 100Mg,Rs.350,14'sManufacturer:...
1950,Dologab Cap 150Mg,Rs.360,14's
1951,Dologab Cap 50Mg,Rs.252,14'sManufacturer:...
1952,Dologab Cap 75Mg,Rs.280,14'sManufacturer:...
1953,DyGab Cap 50mg,Rs.289,14'sMarketed...
1954,M Taz Tab 30mg 20's,Rs.750,20's
1955,Neoquel XR Tab 150mg 30's,"Rs.1,050",30's
1956,Neoquel XR Tab 100mg 30's,Rs.810,30's
1957,Olan Tab 10mg 10's,Rs.215,10's
1958,Olan Tab 5mg 10's,Rs.120,10's
1959,Paliris XR Tab 3mg 10's,Rs.500,10...
1960,Paliris XR Tab 1.5mg 10's,Rs.175,10's
1961,Sertex Tab 50mg 30's,Rs.650,30's
1962,Sertex Tab 100mg 20's,Rs.780,20's
1963,Xtin CR Tab 25mg 30's,"Rs.1,027",30's
1964,Xtin CR Tab 12.5mg 30's,Rs.557,30's
1965,Parotin Tab 20mg 1x10's (Zaka...,Rs.350,1x10's
1966,Benzodep Tab 5mg 3x10's (Zaka...,Rs.340,3x10's
1967,Wizen Tab 1mg 5x10's,"Rs.1,349.92",50's
1968,Wizen Tab 1mg 5x10's,Rs.400.40,10's
1969,Wizen Tab 1mg 5x10's,Rs.286,6's
1970,Wizen Flash Tab 1mg 1x10's,Rs.120,10's
1971,Citolin Tab 500mg 10's,MRP Rs.850 5% off Rs.807.50,10's
1972,Lamitor Tab 25mg 30`s,Rs.300,30's
1973,Lamitor Tab 200mg,Rs.700,30's
1974,Brotin Tab 2.5mg,Rs.456.51,30's
1975,Velax Tab 37.5mg 2x10's (Zaka...,Rs.490,20's
1976,Velax-XR Tab 75mg,Rs.490,10's
1977,Selgin Tab 5mg 10's,Rs.132,10...
1978,Donresp Tab 1mg 10's,Rs.123,10's
1979,Donresp Tab 3mg 10's,Rs.306,10's
1980,Donresp Tab 4mg 10's,Rs.404,10's
1981,Gaba Pil Cap 50mg 14's,Rs.290,14's
1982,Gaba Pil Cap 75mg 14's,Rs.224,14's
1983,Gaba Pil Cap 100mg 14's,Rs.350,14's
1984,Gaba Pil Cap 150mg 14's,Rs.385,14's
1985,Gaba Pil Cap 300mg 14's,Rs.635,14's
1986,Neoquel XR Tab 100mg 30's,Rs.810,30's
1987,Neoquel XR Tab 150mg 30's,"Rs.1,050",30's
1988,Olan Tab 10mg 10's,Rs.215,10's
1989,Olan Tab 5mg 10's,Rs.120,10's
1990,Paliris XR Tab 1.5mg 10's,Rs.175,10's
1991,Paliris XR Tab 3mg 10's,Rs.500,10...
1992,Vyolen Cap 150mg 14's,Rs.350,14's
1993,Vyolen Cap 75mg 14's,Rs.270.40,14's
1994,Wizen Tab 1mg 5x10's,"Rs.1,349.92",50's
1995,Wizen Tab 1mg 5x10's,Rs.400.40,10's
1996,Wizen Tab 1mg 5x10's,Rs.286,6's
1997,Wizen Flash Tab 1mg 1x10's,Rs.120,10's
1998,Citolin Tab 500mg 10's,MRP Rs.850 5% off Rs.807.50,10's
1999,Brotin Tab 2.5mg,Rs.456.51,30's
2000,Levopraid Tab 50mg 10's,Rs.343.28,10's
2001,Selgin Tab 5mg 10's,Rs.132,10...
2002,Dispride Tab 50mg 20's,Rs.250,20's
2003,Sibelium Cap 5mg 12's,Rs.222.19,12's
2004,Sowel Tab 25mg 20's,Rs.217,20's
2005,Aripan Tab 20mg 30's,Rs.357,30's
2006,Aripan Tab 10mg 30's,Rs.258,30's
2007,Clipen Tab 25mg 50's,Rs.960,50's
2008,Clipen Tab 100mg 50's,"Rs.2,100",50's
2009,Colonil Cap MR 10's,Rs.309,10...
2010,Donresp Tab 2mg 10's,Rs.202,10's
2011,Donresp Tab 1mg 10's,Rs.123,10's
2012,Donresp Tab 3mg 10's,Rs.306,10's
2013,Donresp Tab 4mg 10's,Rs.404,10's
2014,Neoquel XR Tab 100mg 30's,Rs.810,30's
2015,Neoquel XR Tab 150mg 30's,"Rs.1,050",30's
2016,Olan Tab 10mg 10's,Rs.215,10's
2017,Olan Tab 5mg 10's,Rs.120,10's
2018,Paliris XR Tab 3mg 10's,Rs.500,10...
2019,Paliris XR Tab 1.5mg 10's,Rs.175,10's
2020,Wizen Tab 1mg 5x10's,"Rs.1,349.92",50's
2021,Wizen Tab 1mg 5x10's,Rs.400.40,10's
2022,Wizen Tab 1mg 5x10's,Rs.286,6's
2023,Wizen Flash Tab 1mg 1x10's,Rs.120,10's
2024,Citolin Tab 500mg 10's,MRP Rs.850 5% off Rs.807.50,10's
2025,Levopraid Tab 50mg 10's,Rs.343.28,10's
2026,Caffeine Syp 16mg/ml 30ml,Rs.380,30ml
2027,Omron OMRON C - 803...,"Rs.5,625",1's...
2028,Omron NE-C28P-E 1's,"Rs.16,300",1's
2029,Adult Nebulizer Kit 1's,Rs.600,1's
2030,Peads Nebulizer Kit 1's,Rs.388.24,1's
2031,Certeza Nebulizer NB-605 1's,"Rs.2,222.22",1's
2032,Beurer Nebulizer IH-55,"Rs.13,999.99",1's...
2033,Philips Innospire Essence Nebulizer Device,"Rs.5,999.99",1's
2034,Medel Family Nebulizer 1's,"Rs.5,000",1's
2035,Nebulizer Kit Adult 1's,Rs.250,1's
2036,Smart Peak Flow Meter,"Rs.11,000",1's
2037,Smart Peak Flow Meter with...,"Rs.16,500",1's
2038,Bluetooth Adapter for Smart Peak...,"Rs.5,500",1's
2039,Stomeze Susp 5mg/5ml 120ml,Rs.65,120ml
2040,Stomeze Tab 10mg 5x10ƒ??s,Rs.160,50's
2041,Domflash Plain Tab 10mg 50's,MRP Rs.215 5% off Rs.204.25,50's
2042,Domflash Dispersible Tab 10mg 50's,Rs.180,50's
2043,Metomide Tab 10mg 100's,Rs.137.44,100's
2044,Metomide Syp 5mg/5ml 50ml,Rs.41.31,50ml
2045,Metomide Inj 10mg 10Ampx2ml,Rs.275.25,10...
2046,Cara-Mid Inj 10mg 10Vialx2ml,Rs.80,2ml
2047,C-Nate Inj 50mg 25Ampx1ml,Rs.90,10's
2048,Motidil Tab 10mg 5x10's,Rs.170,51vialx1ml
2049,Talsis Tab 10mg 5x10's,Rs.207,14's
2050,Talsis Oral Sol 1mg/ml 120ml,Rs.65,20's
2051,J-Peridon Syp 60ml,Rs.42,60's
2052,J-Peridon Syp 120ml,Rs.84,120ml
2053,Vomipreg Tab 10mg /10mg 30's,Rs.137.70,30ml
2054,Granicip Inj 3mg 1Vial,Rs.869,1Vial...
2055,Motilium Susp 120ml (Aspin),Rs.122.73,120ml
2056,Motilium-V Tab 12.7mg 50's,Rs.345.33,50's
2057,Motilium Tab 10mg 50's,Rs.314.12,50's
2058,Stugeron Tab 25mg 50's,Rs.122.46,50's
2059,Motilium Tab 10mg 10's,Rs.62.82,10's
2060,Motilium-V Tab 12.7mg 10's,Rs.69.07,10's
2061,Motilium V Tab 10mg 50's,Rs.379.87,50's
2062,Welsetron Inj 8mg 5Ampx4ml,Rs.995,5Ampx4ml
2063,Baby Chest Rub Oint 20gm,Rs.70,1...
2064,Xynosine Nasal Spray 0.1% 15ml,Rs.45.35,15ml...
2065,Xynosine Nasal Drops 0.05% 15ml,Rs.35.51,15ml...
2066,Analin Inj 20mg 10Amp,MRP Rs.690 5% off Rs.655.50,10...
2067,Tremomed Cap 50mg 3x10's,MRP Rs.270 5% off Rs.256.50,30's
2068,Tramagesic Cap 50mg 2x10's,MRP Rs.193.87 4% off Rs.186.12,2x10's
2069,Deprogesic-P Tab 32.5mg/325mg 10's,Rs.104.88,1x10's
2070,Tonoflex Cap 50mg 10's,Rs.177.42,10's
2071,Tonoflex SR Tab 100mg 10's,Rs.331.25,10's
2072,Tramal Cap 50mg 10's,MRP Rs.175.08 5% off Rs.166.33,10's
2073,Tramal Inj 100mg 5Ampx2ml,Rs.353.39,5Ampx2ml
2074,Tramal SR Tab 100mg 10's,Rs.336.39,10's
2075,Tramal-Plus Tab 37.5mg/325mg 10's,Rs.131.32,10's
2076,Vexnil Cap 50mg 1x10's,Rs.123,1x10's
2077,Vexnil SR Tab 100mg 1x10's,Rs.215,1x10's
2078,Valvin Tab 32.5mg/325mg 100's,Rs.124,100's
2079,Paineze Tab 15mg/500mg 10x10's,Rs.297,100's
2080,Zultra Tab 50mg 2x10's,Rs.230,20's
2081,Zultracet Tab 37.5mg/325mg 2x10's,Rs.260,20's
2082,Diagesic Extra Tab 10's,Rs.135.78,10's
2083,Tazdol Inj 100mg/2ml 5's,Rs.197.55,5's
2084,Tracetol Tab 37.5mg /325mg 10's,Rs.121.99,10's
2085,Acetra Tab 37.5mg /325mg 10's,Rs.130.40,10's
2086,Trampol Tab 37.5mg/325mg 10's,Rs.132,10's
2087,Ultrame-SR Tab 100mg 10's,Rs.170,10amp
2088,Ultrame-Plus Tab 37.5/325mg 10's,Rs.100,10's
2089,Simgesic Tab 20's,Rs.197,20's
2090,Waycron Inj 4mg 10Vialx2ml,Rs.300,14's
2091,Fernor SR Tab 6mg 1x10's,Rs.215,1x10's
2092,Fernor Tab 2mg 1x10's,Rs.95,10's
2093,Fernor Tab 4mg 1x10's,Rs.161,10's
2094,MR-X Tab 4mg 1x10's,Rs.177.10,10's
2095,MR-X Tab 2mg 1x10's,Rs.105,10's
2096,Paincure Blister Tab 10x10's,Rs.463.26,100's
2097,Paincure Fort Blister Tab 50mg...,Rs.35,10's
2098,Feloni Tab 50mg 20's,Rs.296.24,30's
2099,Skelebenz Cap 30mg 14's,Rs.367,10's
2100,Trizadine Tab 2mg 10's,Rs.83,10's
2101,Trizadine Tab 4mg 10's,Rs.140,10's
2102,Graygesic Tab 10x10's,Rs.200,100's
2103,Vizin Tab 2mg 1x10's,Rs.83,1x10's
2104,Thicocid Cap 4mg 10's,Rs.172,10's
2105,Zanita Tab 2mg 10's,Rs.83,10's
2106,Tinex Tab 4mg 10's,Rs.144,10's
2107,Tinex Tab 2mg 10's,Rs.83,10's
2108,Sinaxamol Tab 35mg/450mg,MRP Rs.55.50 5% off Rs.52.73,10'sMarketed...
2109,Acetofen Tab 35mg/450mg 100Æ’??s,Rs.349,100's
2110,Sinaxamol Extra Tab 50mg/650mg 10's,Rs.56.21,30's
2111,Wilgesic Forte Tab 650mg/50mg 10's,Rs.631.83,10's
2112,Biforge Tab 5/80mg 14's,Rs.140,14's
2113,Somno 5mg Tab 30's,Rs.400,30's
2114,Mecobal Inj 500mcg 10Amp,Rs.495,10amp
2115,Mecotec Inj 500mcg 10Amp,Rs.610.96,10amp
2116,Cyanorin Forte Inj 25Ampx3ml,MRP Rs.259.78 4% off Rs.249.39,25...
2117,Lamx Inj 500mcg 10Amp,MRP Rs.99 5% off Rs.94.05,10Amp
2118,Bezel Inj 500Mcg 10Amp,Rs.350,10...
2119,Mabil Inj 500mcg 10Ampx1ml,Rs.380,10ampx1ml
2120,Perimac Inj 500mcg 5Ampx1ml,Rs.150,5's
2121,Neuro Bedoxine Plus Tab 10x10's,Rs.580.96,100's
2122,Neuro-Bedoxine Inj 5Ampx3ml,Rs.60,5Ampx3ml
2123,Serebal Inj 500mcg 10Amp,MRP Rs.300 5% off Rs.285,10's
2124,Megavit Inj 3Ml,Rs.285.29,25's
2125,Nikal Inj 500mcg 10Amp,Rs.490,10Amp
2126,Nervpower IM/IV Inj 500mcg 10Ampx1ml,Rs.195,10...
2127,Flench Inj 500mcg 10Ampx1ml,Rs.350,10...
2128,Kids Syp 120ml,Rs.50,120ml
2129,Xyster Inj 500mcg 10Amp,Rs.500,10amp
2130,Nezaton Inj 25Ampx3ml,Rs.334.11,25Ampx3ml
2131,Coenz Inj 500Mcg,Rs.350,10...
2132,Meklin Inj 500Mcg 10Amp,Rs.200,10...
2133,G-Cal Inj 5mg 1Amp,Rs.600,1Amp
2134,Impuls Inj 500mcg 10Amp,Rs.476,10Amp
2135,Vitaxon Inj 500mcg 10Amp,Rs.350,10's
2136,Calgae Cap 20's,Rs.360,20's
2137,Mecorise Inj 500mcg 10Vialx1ml,Rs.460,20's
2138,Impulse Z Softgel Cap Fridge...,Rs.300,10's
2139,Gesunden Multi Tab,Rs.999,30's
2140,Vaneka Cr 15Ml,"Rs.1,270.59",15ml
2141,Vitkal Plus Calcium Tab,Rs.725,30's
2142,Resvitol 10Mg Tab,"Rs.2,100",1X30's
2143,Utinorma Effervescent Tab,Rs.350,10's
2144,Vitkal Plus Effervescent Tab,Rs.180,10's
2145,Gesunden Previt Cap,"Rs.1,350",30's
2146,Tinostol Cap,"Rs.2,400",30's
2147,Ovitex 5G Cap,"Rs.1,500",30's
2148,Uritrac Sachet,Rs.111.76,10's
2149,Ovapro Sachet,Rs.500,10's
2150,Utinorm Sachet,Rs.350,10's
2151,Kalvita Sachet,Rs.130,10's
2152,Emacrit Sachet,Rs.250,10's
2153,Crave Sachet,Rs.480,10's
2154,Emacrit Sachet,Rs.750,30's
2155,Once A Day Men Tab,Rs.650,20's
2156,Enervit Tab 60's,Rs.297.90,14's
2157,Uniq Oral Drops 10ml,Rs.280,10ml
2158,Bmd-Max Chewable Tab,Rs.577.50,6...
2159,Cheliron Syrup 60ml,Rs.102.35,60ML
